height(m)     T cool(°C)     T clad_o(°C)   T max(°C)
0.000          339.00         339.00         339.00
0.080          339.16         355.47         375.04
0.160          339.48         372.09         411.20
0.240          339.96         388.83         447.45
0.320          340.59         405.68         483.75
0.400          341.39         422.62         520.07
0.480          342.34         439.65         556.37
0.560          343.45         456.73         592.61
0.640          344.71         473.86         628.77
0.720          346.13         491.01         664.79
0.800          347.70         508.17         700.66
0.880          349.42         525.33         736.33
0.960          351.29         542.46         771.76
1.040          353.31         559.55         806.93
1.120          355.47         576.58         841.80
1.200          357.78         593.54         876.33
1.280          360.23         610.40         910.48
1.360          362.81         627.16         944.24
1.440          365.54         643.79         977.55
1.520          368.39         660.28        1010.40
1.600          371.38         676.61        1042.74
1.680          374.49         692.77        1074.55
1.760          377.73         708.75        1105.79
1.840          381.09         724.51        1136.44
1.920          384.57         740.05        1166.45
2.000          388.16         755.36        1195.81
2.080          391.86         770.42        1224.49
2.160          395.68         785.21        1252.45
2.240          399.59         799.72        1279.67
2.320          403.60         813.93        1306.12
2.400          407.72         827.84        1331.77
2.480          411.92         841.42        1356.61
2.560          416.21         854.67        1380.60
2.640          420.58         867.56        1403.71
2.720          425.03         880.10        1425.95
2.800          429.56         892.26        1447.26
2.880          434.16         904.03        1467.65
2.960          438.82         915.41        1487.08
3.040          443.54         926.38        1505.53
3.120          448.32         936.92        1522.99
3.200          453.16         947.04        1539.45
3.280          458.04         956.72        1554.88
3.360          462.96         965.94        1569.27
3.440          467.91         974.71        1582.60
3.520          472.91         983.01        1594.87
3.600          477.92         990.83        1606.06
3.680          482.96         998.17        1616.15
3.760          488.02        1005.02        1625.15
3.840          493.09        1011.37        1633.03
3.920          498.17        1017.21        1639.80
4.000          503.25        1022.55        1645.45
4.080          508.33        1027.37        1649.96
4.160          513.40        1031.68        1653.34
4.240          518.46        1035.45        1655.58
4.320          523.50        1038.71        1656.69
4.400          528.52        1041.43        1656.65
4.480          533.51        1043.61        1655.47
4.560          538.47        1045.26        1653.15
4.640          543.39        1046.38        1649.70
4.720          548.27        1046.95        1645.11
4.800          553.10        1046.98        1639.39
4.880          557.88        1046.48        1632.55
4.960          562.60        1045.44        1624.59
5.040          567.27        1043.86        1615.52
5.120          571.86        1041.74        1605.35
5.200          576.39        1039.09        1594.09
5.280          580.84        1035.91        1581.76
5.360          585.22        1032.20        1568.35
5.440          589.51        1027.97        1553.90
5.520          593.71        1023.21        1538.40
5.600          597.82        1017.94        1521.87
5.680          601.83        1012.16        1504.35
5.760          605.75        1005.88        1485.83
5.840          609.56         999.09        1466.33
5.920          613.26         991.82        1445.89
6.000          616.86         984.06        1424.51
6.080          620.33         975.82        1402.22
6.160          623.69         967.11        1379.04
6.240          626.93         957.95        1355.00
6.320          630.05         948.33        1330.10
6.400          633.03         938.27        1304.40
6.480          635.89         927.78        1277.90
6.560          638.61         916.86        1250.63
6.640          641.20         905.54        1222.62
6.720          643.64         893.82        1193.90
6.800          645.95         881.71        1164.50
6.880          648.11         869.22        1134.44
6.960          650.13         856.37        1103.75
7.040          652.00         843.17        1072.47
7.120          653.72         829.63        1040.63
7.200          655.29         815.77        1008.25
7.280          656.71         801.59         975.37
7.360          657.97         787.12         942.03
7.440          659.08         772.36         908.25
7.520          660.03         757.34         874.06
7.600          660.83         742.07         839.51
7.680          661.47         726.55         804.62
7.760          661.94         710.82         769.44
7.840          662.26         694.87         733.98
7.920          662.42         678.73         698.30
8.000          662.42         662.42         662.42
